method,count,mean,std,min,25%,50%,75%,max
Knapsack,500.0,0.40901250000000006,0.016046587009682717,0.4,0.4,0.4,0.425,0.45625
Knapsack (Marginal Utility),500.0,0.5728500000000001,0.0070161208586944435,0.55,0.575,0.575,0.575,0.575
M0 (Random),500.0,0.3082583333333333,0.15587330321085544,0.05,0.175,0.3,0.45,0.625
M1 (String Matching),500.0,0.3043666666666667,0.1270237190026627,0.1,0.225,0.30937499999999996,0.3916666666666666,0.6
M3 (Boosted Bandit),500.0,0.47380416666666664,0.10543987514198117,0.1,0.4125,0.475,0.5583333333333333,0.6
