method,count,mean,std,min,25%,50%,75%,max
Knapsack,500.0,0.4431610119047619,0.03479551631475034,0.4,0.4,0.4458333333333333,0.475,0.5125
Knapsack (Mariginal utiility),500.0,0.6911499999999999,0.018469155894054196,0.65,0.7,0.7,0.7,0.7
M0 (Random),500.0,0.20865148809523812,0.11277569640318905,0.05,0.125,0.2,0.28125,0.5625
M1 (String Matching),500.0,0.3986818452380952,0.1310769698108272,0.05,0.3125,0.4049107142857143,0.5,0.625
M3 (Boosted Bandit),500.0,0.5764318452380953,0.04666389388308725,0.2375,0.55,0.575,0.6,0.625
