,nsf_proposal_links_v1,title,synopsis
18,https://www.nsf.gov/pubs/2020/nsf20511/nsf20511.htm,Addressing Systems Challenges through Engineering Teams (ASCENT) (nsf20511) | NSF - National Science Foundation,"The Electrical, Communications and Cyber Systems Division (ECCS) supports enabling and transformative engineering research at the nano, micro, and macro scales that fuels progress in engineering system applications with high societal impact. This includes fundamental engineering research underlying advanced devices and components and their seamless penetration in power, controls, networking, communications or cyber systems. The research is envisioned to be empowered by cutting-edge computation, synthesis, evaluation, and analysis technologies and is to result in significant impact for a variety of application domains in healthcare, homeland security, disaster mitigation, telecommunications, energy, environment, transportation, manufacturing, and other systems-related areas. ECCS also supports new and emerging research areas encompassing 5G and Beyond Spectrum and Wireless Technologies, Quantum Information Science, Artificial Intelligence, Machine Learning, and Big Data."
19,https://www.nsf.gov/pubs/2006/nsf06516/nsf06516.htm,Networking Technology and Systems (NeTS),"Computer and communication networks are among society's most important infrastructures. Networks are vital to the operation of many sectors of our society — from financial and manufacturing to education and healthcare — and they are engines for economic growth. However, with the existing network architecture stressed and reaching the limits of its capabilities, significant innovations are necessary to give rise to new applications and to meet current and future demands on the existing Internet."
20,https://www.nsf.gov/pubs/2018/nsf18561/nsf18561.htm,Division of,"This solicitation applies to nine CHE Disciplinary Chemistry Research Programs: Chemical Catalysis (CAT); Chemical Measurement and Imaging (CMI); Chemical Structure, Dynamics and Mechanisms-A (CSDM-A); Chemical Structure Dynamics and Mechanisms-B (CSDM-B); Chemical Synthesis( SYN); Chemical Theory, Models and Computational Methods (CTMC); Chemistry of Life Processes (CLP); Environmental Chemical Sciences (ECS); and Macromolecular, Supramolecular and Nanochemistry (MSN)."
21,https://www.nsf.gov/pubs/2020/nsf20577/nsf20577.htm,Division of Chemistry: Disciplinary Research Programs,"This solicitation applies to nine CHE Disciplinary Chemistry Research Programs: Chemical Catalysis (CAT); Chemical Measurement and Imaging (CMI); Chemical Structure, Dynamics and Mechanisms-A (CSDM-A); Chemical Structure Dynamics and Mechanisms-B (CSDM-B); Chemical Synthesis (SYN); Chemical Theory, Models and Computational Methods (CTMC); Chemistry of Life Processes (CLP); Environmental Chemical Sciences (ECS); and Macromolecular, Supramolecular and Nanochemistry (MSN)."
22,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,Division of,"This solicitation applies to nine CHE Disciplinary Chemistry Research Programs: Chemical Catalysis (CAT); Chemical Measurement and Imaging (CMI); Chemical Structure, Dynamics and Mechanisms-A (CSDM-A); Chemical Structure Dynamics and Mechanisms-B (CSDM-B); Chemical Synthesis (SYN); Chemical Theory, Models and Computational Methods (CTMC); Chemistry of Life Processes (CLP); Environmental Chemical Sciences (ECS); and Macromolecular, Supramolecular and Nanochemistry (MSN)."
23,https://www.nsf.gov/pubs/2004/nsf04503/nsf04503.htm,Instrumentation for Materials Research,The IMR Program supports the acquisition and/or development of research
24,https://www.nsf.gov/pubs/2005/nsf05522/nsf05522.htm,Instrumentation for Materials Research (IMR),"The IMR Program supports the acquisition and/or development of research instruments that will provide new capability and/or advance current capability to: (1) discover fundamental phenomena in materials; (2) synthesize, process, and/or characterize the composition, structure, properties, and performance of materials; and (3) improve the quality, expand the scope, and foster and enable the integration of research and education in research-intensive environments."
25,https://www.nsf.gov/pubs/2007/nsf07600/nsf07600.htm,Instrumentation for Materials Research,"The IMR Program supports the acquisition and/or development of research instruments that will provide new capability and/or advance current capability to: (1) discover fundamental phenomena in materials; (2) synthesize, process, and/or characterize the composition, structure, properties, and performance of materials; and (3) improve the quality, expand the scope, and foster and enable the integration of research and education in research-intensive environments."
26,https://www.nsf.gov/pubs/2004/nsf04534/nsf04534.htm,Chemistry Research Instrumentation and Facilities: Instrument Development,The Chemistry Research Instrumentation and Facilities Program (CRIF) is structured to enable the National Science Foundation's Division of Chemistry to respond to a variety of needs for infrastructure--instrumentation and facilities--that promotes basic research and education in areas traditionally supported by the Division.
27,https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm,Division of Materials Research: Topical Materials Research Programs,"Research supported by the Division of Materials Research (DMR) focuses on advancing fundamental understanding of materials, materials discovery, design, synthesis, characterization, properties, and materials-related phenomena. DMR awards enable understanding of the electronic, atomic, and molecular structures, mechanisms, and processes that govern nanoscale to macroscale morphology and properties; manipulation and control of these properties; discovery of emerging phenomena of matter and materials; and creation of novel design, synthesis, and processing strategies that lead to new materials with unique characteristics. These discoveries and advancements transcend traditional scientific and engineering disciplines. The Division supports research and education activities in the United States through funding of individual investigators, teams, centers, facilities, and instrumentation. Projects supported by DMR are essential for the development of future technologies and industries that meet societal needs, as well preparation of the next generation of materials researchers."
28,https://www.nsf.gov/pubs/2012/nsf12593/nsf12593.htm,Materials World Network: Cooperative Activity in Materials Research between US Investigators and their Counterparts Abroad (MWN)(nsf12593),"The National Science Foundation (NSF) is working jointly with counterpart national, regional and multinational funding organizations worldwide to enhance opportunities for collaborative activities in materials research and education between US investigators and their colleagues abroad. This solicitation promotes joint activities between the NSF Division of Materials Research (DMR)and funding organizations in Africa, Asia, the Americas and Europe."
29,https://www.nsf.gov/pubs/2006/nsf06563/nsf06563.htm,Geobiology and Low-Temperature Geochemistry,"The Geobiology and Low-Temperature Geochemistry Program supports research on 1) the interactions between biological and geological systems at all scales of space and time; 2) geomicrobiology and biomineralization processes; 3) the role of life in the evolution of the Earth’s system; 4) inorganic and organic geochemical processes occurring at or near the Earth’s surface now and in the past, and at the broad spectrum of interfaces ranging in scale from planetary and regional to mineral-surface and supramolecular; 5) mineralogy and chemistry of soils and sediments; 6) surficial chemical and biogeochemical systems and cycles and their modification through natural and anthropogenic change; and 7) development of tools, methods, and models for low-temperature geochemistry and geobiological research. The Geobiology and Low-Temperature Geochemistry Program facilitates cross-disciplinary efforts to harness new bioanalytical tools – such as those emerging from molecular biology – in the study of the terrestrial environment."
30,https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm,"Spectrum Efficiency, Energy Efficiency, and Security (SpecEES):","The National Science Foundation's Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts to significantly improve the efficiency of radio spectrum utilization while addressing new challenges in energy efficiency and security, thus enabling spectrum access for all users and devices, and allowing traditionally underserved Americans to benefit from wireless-enabled goods and services. The SpecEES program solicitation (pronounced ""SpecEase"") seeks to fund innovative collaborative team research that transcends the traditional boundaries of existing programs."
31,https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,"Spectrum Efficiency, Energy Efficiency, and Security (SpecEES): Enabling Spectrum for All","The National Science Foundation's Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts to significantly improve the efficiency of radio spectrum utilization while addressing new challenges in energy efficiency and security, thus enabling spectrum access for all users and devices, and allowing traditionally underserved Americans to benefit from wireless-enabled goods and services. The SpecEES program solicitation (pronounced ""SpecEase"") seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs."
32,https://www.nsf.gov/pubs/2016/nsf16616/nsf16616.htm,"Spectrum Efficiency, Energy Efficiency, and Security (SpecEES):","The National Science Foundation's Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts to significantly improve the efficiency of radio spectrum utilization while addressing new challenges in energy efficiency and security, thus enabling spectrum access for all users and devices, and allowing traditionally underserved Americans to benefit from wireless-enabled goods and services. The SpecEES program solicitation (pronounced ""SpecEase"") seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs."
33,https://www.nsf.gov/pubs/2018/nsf18569/nsf18569.htm,Computer and Network Systems (CNS): Core Programs,"CISE’s Division of Computer and Network Systems (CNS) supports research and education projects that take a system-oriented approach to the development of novel computing and networking technologies, or to the enhancement of existing systems in any of several dimensions, or that explore new ways to make use of existing technologies."
34,https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm,Enhancing Access to the Radio Spectrum,"The National Science Foundation's Directorates for Mathematical and Physical Sciences (MPS), Engineering (ENG), and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts with the potential to contribute to significant improvements in the efficiency of radio spectrum utilization, and in the ability for traditionally underserved Americans to benefit from current and future wireless-enabled goods and services. EARS seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs, such as research that spans disciplines covered by two or more of the participating NSF directorates."
35,https://www.nsf.gov/pubs/2005/nsf05505/nsf05505.htm,Networking Technology and Systems (NeTS),Computer and communication networks are among society's most important infrastructures.
36,https://www.nsf.gov/pubs/2003/nsf03607/nsf03607.htm,"Collaborative Large-Scale Engineering Analysis Network for Environmental Research (CLEANER): An Engineering Cyberinfrastructure""Test Bed""","Through planning grants, the NSF Directorate for Engineering is"
37,https://www.nsf.gov/pubs/2004/nsf04538/nsf04538.htm,NSF Funding Opportunity Document: Mathematical Sciences: Innovations at the Interface with the Sciences and Engineering,"This solicitation describes many of the opportunities available for support through the Foundation’s Mathematical Sciences Priority Area (MSPA). Investments in the Mathematical Sciences will deepen support for fundamental research in mathematics and statistics, and the integration of mathematical and statistical research across the full range of science and engineering disciplines. Initial investments in interdisciplinary research will focus primarily on mathematical and statistical challenges posed by large data sets, managing and modeling uncertainty, and modeling complex nonlinear systems. Innovative educational activities that foster closer connections between research and education in the mathematical sciences will also be supported. In FY2004, a set of focused competitions will be supported; these are described or referenced in this solicitation."
38,https://www.nsf.gov/pubs/2007/nsf07534/nsf07534.htm,Mathematical Sciences: Innovations at the Interface with Computer Sciences (MSPA-MCS),This solicitation describes the opportunities available for support through the Foundation’s Mathematical Sciences Priority Area in the following category:
39,https://www.nsf.gov/pubs/2003/nsf03575/nsf03575.htm,Enhancing the Mathematical Sciences Workforce in the 21st Century,The long-range goal of the EMSW21 program
40,https://www.nsf.gov/pubs/2004/nsf04600/nsf04600.htm,Enhancing the Mathematical Sciences Workforce in the 21st Century (EMSW21),The long-range goal of the EMSW21 program
41,https://www.nsf.gov/pubs/2015/nsf15551/nsf15551.htm,"Presidential Awards for Excellence in Science, Mathematics and Engineering Mentoring (PAESMEM) (nsf15551)","The Presidential Awards for Excellence in Science, Mathematics and Engineering Mentoring (PAESMEM) is a Presidential award established by the White House in 1995. The PAESMEM program is administered by the National Science Foundation (NSF) on behalf of the White House Office of Science and Technology Policy (OSTP)."
42,https://www.nsf.gov/pubs/2005/nsf05617/nsf05617.htm,East Asia and Pacific Summer Institutes for U.S. Graduate Students (EAPSI),"The East Asia and Pacific Summer Institutes (EAPSI) provide U.S. graduate students in science and engineering 1) first-hand research experience in Australia, China, Japan, Korea, or Taiwan; 2) an introduction to the science and science policy infrastructure of the respective location; and 3) orientation to the society, culture and language. The primary goals of EAPSI are to introduce students to East Asia and Pacific science and engineering in the context of a research laboratory, and to initiate personal relationships that will better enable them to collaborate with foreign counterparts in the future. The institutes last approximately eight weeks from June to August. The National Institutes of Health (NIH) co-sponsor the Summer Institute in Japan."
43,https://www.nsf.gov/pubs/2008/nsf08593/nsf08593.htm,Graduate Research Fellowship Program,"The National Science Foundation aims to ensure the vitality of the human resource base of science, technology, engineering, and mathematics in the United States and to reinforce its diversity by offering approximately 900-1,600 graduate fellowships in this competition pending availability of funds. The Graduate Research Fellowship provides three years of support for graduate study leading to research-based master’s or doctoral degrees and is intended for students who are in the early stages of their graduate study. The Graduate Research Fellowship Program (GRFP) invests in graduate education for a cadre of diverse individuals who demonstrate their potential to successfully complete graduate degree programs in disciplines relevant to the mission of the National Science Foundation."
44,https://www.nsf.gov/pubs/2005/nsf05601/nsf05601.htm,Graduate Research Fellowship Program (GRFP),"The National Science Foundation aims to ensure the vitality of the human resource base of science, technology, engineering, and mathematics in the United States and to reinforce its diversity by offering approximately 1,000 graduate fellowships in this competition. The Graduate Research Fellowship provides three years of support for graduate study leading to research-based master’s or doctoral degrees and is intended for students who are at the early stages of their graduate study. The Graduate Research Fellowship Program (GRFP) invests in graduate education for a cadre of diverse individuals who demonstrate their potential to successfully complete graduate degree programs in disciplines relevant to the mission of the National Science Foundation."
45,https://www.nsf.gov/pubs/2004/nsf04615/nsf04615.htm,Graduate Research Fellowship Program (GRFP),The National Science Foundation aims
46,https://www.nsf.gov/pubs/2006/nsf06592/nsf06592.htm,Graduate Research Fellowship Program (GRFP) nsf06592,"The National Science Foundation aims to ensure the vitality of the human resource base of science, technology, engineering, and mathematics in the United States and to reinforce its diversity by offering approximately 1,000 graduate fellowships in this competition. The Graduate Research Fellowship provides three years of support for graduate study leading to research-based master’s or doctoral degrees and is intended for students who are at the early stages of their graduate study. The Graduate Research Fellowship Program (GRFP) invests in graduate education for a cadre of diverse individuals who demonstrate their potential to successfully complete graduate degree programs in disciplines relevant to the mission of the National Science Foundation."
47,https://www.nsf.gov/pubs/2004/nsf04609/nsf04609.htm,Computer Systems Research (CSR),"Computer systems are ubiquitous, and society is increasingly dependent on them. They range from microprocessors embedded in automobiles and appliances to worldwide grids of advanced processors, storage, graphics devices, and instruments interconnected by high-speed networks.  They are controlled by systems software, which has two main roles:  manage the underlying hardware resources, and provide abstractions and services that facilitate the implementation and execution of application programs.    However, too often computer systems fail, become compromised, or perform poorly. Moreover, they have become increasingly large and complex, thereby compounding problems.  Addressing these challenges requires major advances in systems software."
48,https://www.nsf.gov/pubs/2005/nsf05629/nsf05629.htm,Computer Systems Research (CSR),"Computer systems are ubiquitous, and society is increasingly dependent on them. They range from microprocessors embedded in automobiles and appliances to worldwide grids of advanced processors, storage, graphics devices, and instruments interconnected by high-speed networks. They are controlled by systems software, which has two main roles: manage the underlying hardware resources, and provide abstractions and services that facilitate the implementation and execution of application programs. However, too often, computer systems fail, become compromised, or perform poorly. Moreover, they have become increasingly large and complex, thereby compounding problems. Addressing these challenges requires major advances in systems software."
49,https://www.nsf.gov/pubs/2015/nsf15511/nsf15511.htm,Exploiting Parallelism and Scalability,Computing systems have undergone a fundamental transformation from the single-processor devices of the turn of the century to today's ubiquitous and networked devices and warehouse-scale computing via the cloud. Parallelism is abundant at many levels.
50,https://www.nsf.gov/pubs/2014/nsf14516/nsf14516.htm,Exploiting Parallelism and Scalability (XPS) (nsf14516),Computing systems have undergone a fundamental transformation from the single-processor devices of the turn of the century to today's ubiquitous and networked devices and warehouse-scale computing via the cloud. Parallelism is abundant at many levels.
51,https://www.nsf.gov/pubs/2007/nsf07504/nsf07504.htm,Computer Systems Research,"Computer systems are ubiquitous, and society is increasingly dependent on them. They range from microprocessors embedded in automobiles and appliances, to worldwide grids of advanced processors, storage, graphics devices, and instruments interconnected by high-speed networks. Computer systems include large amounts of systems software.  Systems software has two main roles: to provide abstractions and services that facilitate the implementation and execution of application programs; and, to orchestrate effective use of the underlying hardware resources through these abstractions and services.  Computer systems are being applied to increasingly demanding applications. The environments in which they function and the resource configurations to be orchestrated are becoming more diverse, distributed and dynamic. While the time scales for control decisions are shrinking, the scale and complexity of the systems are increasing.  The assumptions underlying current system software no longer hold in many cases. Moreover, current computer systems often fail, become compromised or perform poorly because of failures of system software. Responding to these challenges requires new directions in computer systems research."
52,https://www.nsf.gov/pubs/2007/nsf07523/nsf07523.htm,Emerging Models and Technologies for Computation,"The EMT program seeks to advance the fundamental capabilities of computer and information sciences and engineering by capitalizing on advances and insights from areas such as biological systems, quantum phenomena, nanoscale science and engineering, and other novel computing concepts. To bring fundamental changes to software, hardware and architectural design aspects of future computing models, collaborations among computer scientists, engineers, mathematicians, biologists and other disciplinary scientists are imperative."
53,https://www.nsf.gov/pubs/2005/nsf05626/nsf05626.htm,Emerging Models and Technologies for Computation (EMT),"The EMT program seeks to advance the fundamental capabilities of computer and information sciences and engineering by capitalizing on advances and insights from areas such as biological systems, quantum phenomena, nanoscale science and engineering, and other novel computing concepts. To bring fundamental changes to software, hardware and architectural design aspects of future computing models, collaborations among computer scientists, engineers, mathematicians, biologists and other disciplinary scientists are imperative."
54,https://www.nsf.gov/pubs/2008/nsf08584/nsf08584.htm,Multicore Chip Design and Architecture:,"As Moore’s law scaling runs its course, researchers in industry and academia must explore new means by which to ensure continued technological advances in computing.  CMOS scaling is increasingly limited by the realities imposed by physics, making architectural innovations the most likely means by which to achieve increased computational performance. Multicore-based systems that modularly integrate multiple, heterogeneous processor cores on a single chip promise computational performance enhancements for both high and low end computing platforms (e.g., from petaflop machines to embedded systems)."
55,https://www.nsf.gov/pubs/2013/nsf13507/nsf13507.htm,Exploiting Parallelism and Scalability (XPS)(nsf13507),"Computing systems have undergone a fundamental transformation from the single-processor devices of the turn of the century to today's ubiquitous and networked devices and warehouse-scale computing via the cloud. Parallelism has become ubiquitous at many levels. The proliferation of multi- and many-core processors, ever-increasing numbers of interconnected high performance and data intensive edge devices, and the data centers servicing them, is enabling a new set of global applications with large economic and social impact. At the same time, semiconductor technology is facing fundamental physical limits and single processor performance has plateaued."
56,https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm,"Ideas Lab: Measuring ""Big G"" Challenge","The gravitational constant, G, describes the strength of gravitation, the weakest of the four fundamental interactions in nature. Although several hundred measurements of this constant have been performed over the last two and a quarter centuries, recent experiments differ by as much as 0.05%, about 40 times the uncertainty of the most precise experiment."
57,https://www.nsf.gov/pubs/2005/nsf05500/nsf05500.htm,Theoretical Foundations (TF),"The Theoretical Foundations (TF) cluster is the sucessor to the Formal and Mathematical Foundations cluster which was described in the solicitation, NSF"
58,https://www.nsf.gov/pubs/2003/nsf03560/nsf03560.htm,NSF Funding Opportunity Document: Biomedical Engineering Program and Research to Aid Persons with Disabilities Program (BME/RAPD),"The BME/RAPD programs encompass (a) the Biomedical Engineering program (BME) and (b) the Research to Aid Persons with Disabilities program (RAPD). The Biophotonics area is part of BME but is broken out separately because of its rapid growth in size and scope. Biomedical Engineering supports research that, often with diagnosis or treatment-related goals, applies engineering principles to problems in biology and medicine while advancing the engineering knowledge base. Integration of engineering expertise with life science principles is an essential requirement for advances in this field. The RAPD program supports the development of technologies for new and improved devices or software for persons with disabilities. Current areas of particular interest in BME/RAPD are biomedical photonics; novel tissue characterization schemes; new cellular and tissue engineering concepts; the innovative integration of multi-disciplinary technologies for new imaging and biosensing systems; and, home care technologies related to chronic illness, persons with disabilities, and the aging. Support is provided through submission of unsolicited proposals as well as through special initiatives. Additional information about BME/RAPD is found at http://www.eng.nsf.gov/bes/."
59,https://www.nsf.gov/pubs/2004/nsf04520/nsf04520.htm,Formal and Mathematical Foundations (FMF) nsf04520,The FMF cluster seeks to determine inherent
60,https://www.nsf.gov/pubs/2006/nsf06566/nsf06566.htm,"Biomedical Engineering, Research to Aid Persons with Disabilities, and Biophotonics Programs","The BME/RAPD programs encompass (a) the Biomedical Engineering program (BME) and (b) the Research to Aid Persons with Disabilities program (RAPD). The Biophotonics area is part of BME but is broken out separately because of its rapid growth in size and scope. Biomedical Engineering supports research that, often with diagnosis or treatment-related goals, applies engineering principles to problems in biology and medicine while advancing the engineering knowledge base. Integration of engineering expertise with life science principles is an essential requirement for advances in this field. The RAPD program supports the development of technologies for new and improved devices or software for persons with disabilities. Current areas of particular interest in BME/RAPD are biomedical photonics; novel tissue characterization schemes; new cellular and tissue engineering concepts; the innovative integration of multi-disciplinary technologies for new imaging and biosensing systems; and, Point-of-Care  technologies related to chronic illness, persons with disabilities, and the aging. Support is provided through submission of proposals as well as through special initiatives."
61,https://www.nsf.gov/pubs/2002/nsf02189/nsf02189.htm,"Solar, Heliospheric, and INterplanetary Environment (FY03)",
62,https://www.nsf.gov/pubs/2003/nsf03613/nsf03613.htm,Human Language and Communication,The Human Language and Communication (HLC) program focuses
63,https://www.nsf.gov/pubs/2008/nsf08513/nsf08513.htm,Advancing Theory in Biology,The Biological Sciences Directorate invites submission of proposals that advance our conceptual and theoretical understanding of living systems. The Advancing Theory in Biology (ATB) solicitation supports the development of new theoretical approaches that will improve our understanding of fundamental biological principles that integrate phenomena across levels of biological organization.
64,https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm,Geophysics,"The Geophysics Program supports basic research in the physics of the solid earth to explore its composition, structure, and processes from the Earth's surface to its' deepest interior. Laboratory, field, theoretical, and computational studies are supported. Topics include seismicity, seismic wave propagation, and the nature and occurrence of geophysical hazards; the Earth's magnetic, gravity, and electrical fields; the Earth's thermal structure; and geodynamics. Supported research also includes geophysical studies of active deformation, including geodesy, and theoretical and experimental studies of the properties and behavior of Earth materials."
65,https://www.nsf.gov/pubs/2009/nsf09610/nsf09610.htm,Building Engineered Complex Systems (BECS) (nsf09610),"The Directorate for Engineering (ENG) and the Division of Mathematical Sciences (DMS) in the Directorate for Mathematical and Physical Sciences (MPS) at the National Science Foundation (NSF) are collaborating in this solicitation to provide ""seed funding"" for small teams of innovative engineers and mathematical scientists (mathematicians or statisticians) to seek and develop a"
66,https://www.nsf.gov/pubs/2010/nsf10540/nsf10540.htm,Algorithms for Threat Detection (ATD) (nsf10540),The Division of Mathematical Sciences (DMS) at the National Science Foundation (NSF) has formed a
67,https://www.nsf.gov/pubs/2012/nsf12502/nsf12502.htm,Algorithms for Threat Detection,"The Division of Mathematical Sciences (DMS) at the National Science Foundation (NSF) has formed a partnership with the Defense Threat Reduction Agency (DTRA) and the National Geospatial Intelligence Agency (NGA) to develop the next generation of mathematical and statistical algorithms for the detection of chemical agents, biological threats, and threats inferred from geospatial information."
