,name,designation,titles,research,background,keywords,links,area
42,"Chandrashekhar, MVS","Associate Professor, Electrical Engineering",Faculty,"SwearingenRoom 3A14301 Main StreetColumbia , SC 29208MVS Chandrashekharis an Associate Professor of Electrical Engineering at University of South Carolina . He is an expert in wide bandgap WBG and ultra wide bandgap UWBG semiconductors and related extreme materials for nanoelectronics , with over 20 years of experience . Born in India , raised in Singapore , has had broad exposure to the various types of energy problems that different economies face . His current research interests are in UWBG III nitrides , SiC , and other extreme materials for power electronics and optical chemical sensing applications . Recently this has expanded to applications in real time monitoring of physical biometrics , including in free living children with the RCCWB , as well as soldiers on the battlefield . Dr . Chandrashekhar s expertise in crystal growth , materials characterization , device design , fabrication and characterization has led to over 80 journal articles , with over 5000 citations h index 27 . His research has been funded by DoD , DOE , and NSF , leading to 7 patents issued and many more pending . He has given 100 conference and invited presentations . Dr . Chandrashekhar , is co founder of Widetronix , an energy company in the SiC WBG space .","MVS Chandrashekharis an Associate Professor of Electrical Engineering at University
                                 of South Carolina.  He is an expert in wide bandgap (WBG) and ultra-wide bandgap (UWBG) semiconductors
                                 and related extreme materials for nanoelectronics, with over 20 years of experience.
                                 Born in India, raised in Singapore, has had broad exposure to the various types of
                                 energy problems that different economies face. His current research interests are
                                 in UWBG III-nitrides, SiC, and other extreme materials for power electronics and optical/chemical
                                 sensing applications. Recently this has expanded to applications in real-time monitoring
                                 of physical biometrics, including in free living children with the RCCWB, as well as soldiers on the battlefield. Dr. Chandrashekhar’s expertise in crystal
                                 growth, materials characterization, device design, fabrication and characterization
                                 has led to over 80 journal articles, with over 5000 citations (h-index=27). His research
                                 has been funded by DoD, DOE, and NSF, leading to 7 patents issued and many more pending.
                                 He has given >100 conference and invited presentations. Dr. Chandrashekhar, is co-founder
                                 of Widetronix, an energy company in the SiC WBG space. ","[""materials"",""sic"",""uwbg"",""chandrashekhar"",""characterization"",""bandgap"",""energy""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chandrshekharmvs.php,"He is an expert in wide bandgap WBG and ultra wide bandgap UWBG semiconductors and related extreme materials for nanoelectronics , with over 20 years of experience .
His current research interests are in UWBG III nitrides , SiC , and other extreme materials for power electronics and optical chemical sensing applications .
Recently this has expanded to applications in real time monitoring of physical biometrics , including in free living children with the RCCWB , as well as soldiers on the battlefield .
Chandrashekhar s expertise in crystal growth , materials characterization , device design , fabrication and characterization has led to over 80 journal articles , with over 5000 citations h index 27 .
Chandrashekhar , is co founder of Widetronix , an energy company in the SiC WBG space .MVS Chandrashekharis an Associate Professor of Electrical Engineering at University"
43,"Chao, Yuh J. ","Distinguished Professor Emeritus, Mechanical Engineering",Faculty,"Dr . Chao s research and interests include theoretical and experimental studies on failure , fracture and fatigue of materials and structures , welding modeling for residual stress and distortion , impact mechanics for material characterization and failure criterion , biomechanics and nanomechanics , and the durability of PEM fuel cell systems .","Dr. Chao's research and interests include theoretical and experimental studies on
                                    failure, fracture and fatigue of materials and structures, welding modeling for residual
                                    stress and distortion, impact mechanics for material characterization and failure
                                    criterion, biomechanics and nanomechanics, and the durability of PEM fuel cell systems.","[""failure"",""distortion"",""include"",""residual"",""welding"",""chao""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chao_yuh.php,
44,"Chaudhry, Hanif","Director, Engineering Management Program ",Faculty,"Dr . Chaudhry s area of specialization is water resource engineering with emphasis on the mathematical and physical modeling of steady and unsteady flows in closed conduits and open channel . The research interests include both numerical and experimental investigations , such as modeling and laboratory studies on fluid transients in pipelines , on flood flows in rivers and channels , on levee breach , dam failure , and on scour around bridge piers , etc .",,"[""modeling"",""flows"",""conduits"",""levee"",""dam""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chaudhryhanif.php,
45,"Chen, Donna","Professor, Department of Chemistry and Biochemistry",Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/cas_chen_donna.php,
46,"Chen, Fanglin (Frank)","Associate Chair and Undergraduate Director, Mechanical Engineering",Faculty,"Dr . Chen s research interests include synthesis and characterization of materials for energy conversion and storage , catalysis and electrocatalysis , composition , structure property relationship , ionic and electronic conducting ceramics , solid oxide fuel cells , solid oxide electrolysis cells , and gas separation membranes .","Dr. Chen’s research interests include synthesis and characterization of materials
                                 for energy conversion and storage, catalysis and electrocatalysis, composition, structure
                                 & property relationship, ionic and electronic conducting ceramics, solid oxide fuel
                                 cells, solid oxide electrolysis cells, and gas separation membranes.","[""cells"",""oxide"",""solid""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chen_frank.php,
47,"Chen, Yinchao","Associate Professor, Electrical Engineering",Faculty,"SwearingenRoom 3A34301 Main StreetColumbia , SC 29208",,"[""swearingenroom"",""streetcolumbia"",""main""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/chenyinchao.php,"SwearingenRoom 3A34301 Main StreetColumbia , SC 29208"
48,"Chen, Yuche",Assistant Professor,Faculty,"Dr . Chen s current research interests include 1 Data driven traffic operations and demand management , 2 Model prediction and optimization of cyber physical systems in smart and connected communities , 3 Machine learning based eco driving assistant system , 4 Transportation air quality and health impacts of exposure . Dr . Chen is broadly interested in data driven decision making under uncertainty , empirical model prediction and validation with applications to transportation systems . Dr . Chen is the Chair of research subcommittee of Environmental Analysis in Transportation ADC10 and a member of Automated Transit System AP020 committee in Transportation Research Board , National Academy of Sciences in United States . He received Outstanding Achievement Award from Department of Energy in 2017 .","Dr. Chen’s current research interests include (1) Data-driven traffic operations and
                                 demand management), (2) Model prediction and optimization of cyber-physical systems
                                 in smart and connected communities, (3) Machine learning based eco-driving assistant
                                 system, (4) Transportation air quality and health impacts of exposure. Dr. Chen is
                                 broadly interested in data-driven decision making under uncertainty, empirical model
                                 prediction and validation with applications to transportation systems. Dr. Chen is
                                 the Chair of research subcommittee of Environmental Analysis in Transportation (ADC10)
                                 and a member of Automated Transit System (AP020) committee in Transportation Research
                                 Board, National Academy of Sciences in United States. He received Outstanding Achievement
                                 Award from Department of Energy in 2017.","[""transportation"",""chen"",""research""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/yuchechen.php,"Chen s current research interests include 1 Data driven traffic operations and demand management , 2 Model prediction and optimization of cyber physical systems in smart and connected communities , 3 Machine learning based eco driving assistant system , 4 Transportation air quality and health impacts of exposure .
Chen is the Chair of research subcommittee of Environmental Analysis in Transportation ADC10 and a member of Automated Transit System AP020 committee in Transportation Research Board , National Academy of Sciences in United States .
He received Outstanding Achievement Award from Department of Energy in 2017 .Dr. Chen’s current research interests include (1) Data-driven traffic operations and"
49,"Coman, Paul  T.","Research Associate Professor, Chemical Engineering",Faculty,"Swearingen Engineering CenterRoom 2B51301 Main StreetColumbia , SC 29208Ph . D . , University of Southern Denmark Engineering Science M . Sc . Eng . , University of Southern Denmark Thermal Energy B . Sc . Eng . , Technical University of Iasi Materials Science and EngineeringDevelopment of mathematical modeling for improving the performance and safety in Li ion batteries",,"[""university"",""denmark"",""science"",""engineering"",""southern"",""eng""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/paul_coman.php,", University of Southern Denmark Engineering Science M ."
50,"Crichigno, Jorge",Professor,Faculty,"Ph . D . , Computer Engineering , University of New MexicoM . Sc . , Electrical and Computer Engineering , University of New MexicoB . Sc . , Electrical Engineering , Catholic University , Asuncion","Ph.D., Computer Engineering, University of New Mexico","[""university"",""engineering"",""new"",""computer""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/jorge_crichigno.php,
51,"Dalton, Travis",Instructor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/dalton_travis.php,
52,"Davis, Denise Sgroi","Instructor, Integrated Information Technology",Faculty,"Ms . Davis holds master s degrees in Computer Science and Medical Physics . She brings to the classroom 12 years of experience in the fields of clinical research technology , decision support services and data warehousing . As a medical physicist , she worked for several years as a co investigator on NCI funded grant at the University of Texas , MD Anderson Cancer Center , Houston Texas . She worked as an Oracle DBA systems engineer at a datacenter that warehoused government healthcare information technology . She was responsible for the design and implementation of many data driven applications on the web , with her primary focus on the backend including data modeling , analytics design , scientific computing , and database technology . Ms . Davis considers herself a lifelong learner and is currently pursuing her PhD in HealthCare Informatics here at the University of South Carolina .","Ms. Davis holds master's degrees in Computer Science and Medical Physics.  She brings
                                 to the classroom 12 years of experience in the fields of clinical research technology,
                                 decision support services and data warehousing.  As a medical physicist, she worked
                                 for several years as a co-investigator on NCI funded grant at the University of Texas,
                                 MD Anderson Cancer Center, Houston Texas.  She worked as an Oracle DBA/systems engineer
                                 at a datacenter that warehoused government healthcare information technology.  She
                                 was responsible for the design and implementation of many data driven applications
                                 on the web, with her primary focus on the backend including data modeling, analytics
                                 design, scientific computing, and database technology.  ","[""data"",""technology"",""design"",""medical"",""texas""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/davis_denise.php,"She brings to the classroom 12 years of experience in the fields of clinical research technology , decision support services and data warehousing .
As a medical physicist , she worked for several years as a co investigator on NCI funded grant at the University of Texas , MD Anderson Cancer Center , Houston Texas .
She was responsible for the design and implementation of many data driven applications on the web , with her primary focus on the backend including data modeling , analytics design , scientific computing , and database technology ."
