,name,designation,titles,research,background,keywords,links,area
76,"Farkas, Csilla "," Professor, Computer Science and Engineering",Faculty,"Dr . Farkas research interests include information security , data inference problem , financial and legal analysis of cyber crime , and security and privacy on the Semantic Web . Dr . Farkas actively participates in international scientific communities as program committee member and reviewer .","
Ph. D., George Mason University
M.S., George Mason University
B.S., SZAMALK, Hungary and Eotvos Lorand University, Hungary
","[""university"",""mason"",""george"",""farkas"",""hungary"",""security""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/csillafarkas.php,"B.S., SZAMALK, Hungary and Eotvos Lorand University, Hungary"
77,"Farouk, Tanvir   I.","Director of Graduate Studies, Mechanical Engineering",Faculty,"Increasing worldwide demand for energy and consequent energy related emissions make research in Energy and Environment a topic of extreme importance . There is an urgent need for extensive research on alternative fuel sources , energy conversion processes , pollutant mitigation and on the development of future energy efficient technologies . To create such new technology , both computational and experimental investigations have to be conducted involving both fundamental science and application oriented research . Dr . Farouk s expertise is in the general area of Reacting Thermal Fluid Sciences involving plasma , combustion multiphase reacting flow , chemical kinetics turbulence interaction and energy systems . His research interests are in multi scale , multi physics computational model development for studying complex phenomena e . g . plasma discharge , micro nano scale systems . Computational modeling of these phenomena not only compliment experiments , but also delivers detailed insight into coupled physico chemical phenomena . Current focus areas are 1 High Carrier Density Fast Switching Plasma Devices 2 Plasma Assisted Combustion 3 Plasma Aided Fuel Reforming 4 Cool Flames 5 Multi component liquid droplet combustion 6 Surrogate Fuels for Turbine Applications 7 Alternative and Next Generation Fuels . For more information about research , teaching Mechanical Aerospace Engineering and graduate student openings , please visit RASAER ReActing Systems and Advanced Energy Research Lab .","Increasing worldwide demand for energy and consequent energy-related emissions make
                                 research in Energy and Environment a topic of extreme importance. There is an urgent need for extensive research on
                                 alternative fuel sources, energy conversion processes, pollutant mitigation and on
                                 the development of future energy-efficient technologies. To create such new technology,
                                 both computational and experimental investigations have to be conducted – involving
                                 both fundamental science and application oriented research. Dr. Farouk’s expertise
                                 is in the general area of Reacting Thermal Fluid Sciences involving plasma, combustion multiphase reacting flow, chemical-kinetics-turbulence
                                 interaction and energy systems. His research interests are in multi-scale, multi-physics
                                 computational model development for studying complex phenomena e.g. plasma discharge,
                                 micro-nano scale systems. Computational modeling of these phenomena not only compliment
                                 experiments, but also delivers detailed insight into coupled physico-chemical phenomena.","[""research"",""energy"",""plasma"",""phenomena""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/farouk_tanvir.php,"There is an urgent need for extensive research on alternative fuel sources , energy conversion processes , pollutant mitigation and on the development of future energy efficient technologies .
To create such new technology , both computational and experimental investigations have to be conducted involving both fundamental science and application oriented research .
Farouk s expertise is in the general area of Reacting Thermal Fluid Sciences involving plasma , combustion multiphase reacting flow , chemical kinetics turbulence interaction and energy systems .
His research interests are in multi scale , multi physics computational model development for studying complex phenomena e ."
78,"Fenner, Stephen A. ","Professor, Computer Science & Engineering",Faculty,"Professor Fenner s research interests are in the core theoretical foundations of computing computability and computational complexity , especially quantum computing and information .","
Ph. D., University of Chicago (1991)
M. S., University of Chicago (1988)
B. A. (Physics), Harvard (1983)
","[""chicago"",""computing"",""university"",""quantum""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/stephenfenner.php,
79,"Fiedler, Kirk","Associate Professor, Computer Science & Engineering and Moore School of Business ",Faculty,"Dr . Fiedler research interests include technology innovation , knowledge management , privacy , ethics and risk .","
Ph.D. University of Pittsburgh (1991)
M.S. University of Louisville (1988)
B.A. Wittenberg University (1982)
","[""university"",""knowledge"",""louisville"",""interests"",""pittsburgh"",""include"",""management""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/kirkfiedler.php,
80,"Flora, Joseph",Associate Professor,Faculty,"Dr . Flora s main research interests are in molecular modeling for environmental reactions , computer modeling of water quality engineering processes , and processes for water quality engineering .",,"[""modeling"",""engineering"",""water"",""quality"",""processes""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/flora_joseph.php,"Dr . Flora s main research interests are in molecular modeling for environmental reactions , computer modeling of water quality engineering processes , and processes for water quality engineering ."
81,"Fu, Frank (Peng)",Assistant Professor,Faculty,Ph . D . University of Iowa 2014 B . Eng . Huazhong University of Science and Technology 2009,,"[""university"",""science"",""technology"",""eng"",""huazhong"",""iowa""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/frank_fu.php,
85,"Garcia-Diaz, Brenda",Adjunct Professor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/garcia-diazbrenda.php,
86,"Gassman, Sarah","Graduate Director, Civil and Environmental Engineering",Faculty,"Dr . Gassman specializes in geotechnical engineering . Her research interests are multidisciplinary in nature and currently include projects focused on non destructive evaluation of foundations and bridge structures the effect of soil aging on liquefaction potential field performance of culvert pipe and behavior of embankment fill materials . Dr . Gassman is a member of the ASCE Geo Institute Deep Foundations Technical Committee and the TRB AFS04 Subsurface Soil Structure Interaction Technical Committee . She is a former member of the USUCGER Board of Directors , where she served as Treasurer .","Dr. Gassman specializes in geotechnical engineering. Her research interests are multidisciplinary
                                 in nature and currently include projects focused on non-destructive evaluation of
                                 foundations and bridge structures; the effect of soil aging on liquefaction potential;
                                 field performance of culvert pipe and behavior of embankment fill materials. Dr. Gassman
                                 is a member of the ASCE Geo-Institute Deep Foundations Technical Committee and the
                                 TRB AFS04 Subsurface Soil Structure Interaction Technical Committee. She is a former
                                 member of the USUCGER Board of Directors, where she served as Treasurer.","[""committee"",""gassman"",""foundations"",""member"",""technical"",""soil""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gassman_sarah.php,"Her research interests are multidisciplinary in nature and currently include projects focused on non destructive evaluation of foundations and bridge structures the effect of soil aging on liquefaction potential field performance of culvert pipe and behavior of embankment fill materials .
Gassman is a member of the ASCE Geo Institute Deep Foundations Technical Committee and the TRB AFS04 Subsurface Soil Structure Interaction Technical Committee ."
87,"Gatzke, Edward P.","Associate Professor, Chemical Engineering, Biomedical Engineering",Faculty,"Swearingen Room 3C05 301 Main Street Columbia , SC 29208Dr . Gatzke s research interests are in the area of process modeling , control , and optimization . Efficient operation of chemical processes requires a fundamental understanding of dynamic and nonlinear characteristics . A variety of controller formulations can be developed to reduce product variability and improve productivity . Estimation and diagnostic methods can be used to develop process information that cannot easily be directly acquired by instrumentation . Recently , new moving horizon formulations involving unknown values taking discrete values have been proposed . These applications require online solution to constrained mixed integer optimization problems . Ongoing research efforts include parallel programming efforts for mixed integer optimization , including parallel nonconvex nonseparable mixed integer outer approximation and parallel nonconvex branch and reduce methods . Application areas of interest include particulate processing , bio processes , and large scale systems .",,"[""integer"",""mixed"",""optimization"",""parallel""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gatzke.php,"Gatzke s research interests are in the area of process modeling , control , and optimization ."
88,"Gerdes, Jr., John H.",Undergraduate Director / Integrated Information Technology,Faculty,"Innovation Center550 Assembly Street , Suite 1300Office 1315Columbia , SC 29208Ph . D . , Vanderbilt University , Nashville , Tenn . M . S . , Computer Science , Vanderbilt University , Nashville , Tenn . M . B . A . , Lehigh University , Bethlehem , Pa . M . Eng . , Mechanical Engineering , Cornell University , Ithaca , N . Y . B . S . , Cornell University , Ithaca , N . Y . Dr . John Gerdes is an associate professor in the Department of Integrated Information at the University of South Carolina , Columbia , S . C . He teaches software development , web site development , and database management . Dr . Gerdes holds a B . S . and M . Eng . in Mechanical Engineering from Cornell University , a M . B . A . from Lehigh University , a M . S . in Computer Science from Vanderbilt , and a Ph . D . in Information Systems from Vanderbilt . He has taught at Ohio State University , University of California Riverside , and Jia Tong University , Shanghai , China . His articles have appeared in the Communications of the ACM , Decision Support Systems , Transactions of the IIE , and other journals . He has authored two U . S . Patents , one dealign with measurement of coke temperature , and one for the development of a new public key certificate in support of user privacy . He is currently an associate editor for Electronic Commerce Research and Telecommunications Systems .","Ph.D., Vanderbilt University, Nashville, Tenn.M.S., Computer Science, Vanderbilt University, Nashville, Tenn.M.B.A., Lehigh University, Bethlehem, Pa.M.Eng., Mechanical Engineering, Cornell University, Ithaca, N.Y.B.S., Cornell University, Ithaca, N.Y.","[""university"",""vanderbilt"",""ithaca"",""cornell""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gerdes_john.php,", Computer Science , Vanderbilt University , Nashville , Tenn .
, Mechanical Engineering , Cornell University , Ithaca , N .
John Gerdes is an associate professor in the Department of Integrated Information at the University of South Carolina , Columbia , S .
He is currently an associate editor for Electronic Commerce Research and Telecommunications Systems .Ph.D., Vanderbilt University, Nashville, Tenn.M.S., Computer Science, Vanderbilt University, Nashville, Tenn.M.B.A., Lehigh University, Bethlehem, Pa.M.Eng., Mechanical Engineering, Cornell University, Ithaca, N.Y.B.S., Cornell University, Ithaca, N.Y."
89,"Ginjupally, Bhavana",Instructor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/bhavana_ginjupally.php,
90,"Ginn, Herbert L.",Professor,Faculty,"SwearingenRoom 3A30 301 Main Street Columbia , SC 29208University of South CarolinaMississippi State University",,"[""state"",""university"",""swearingenroom"",""main"",""south"",""street"",""carolinamississippi""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/ginnherbert.php,"SwearingenRoom 3A30 301 Main Street Columbia , SC 29208University of South CarolinaMississippi State University"
91,"Giurgiutiu (Jurjutzu), Victor","Professor, Mechanical Engineering",Faculty,"Dr . Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics . Dr . Giurgiutiu has published several books and book chapters and many journal articles and conference papers . He is Fellow of the Royal Aeronautical Society RAeS and of the American Society of Mechanical Engineers ASME . He is Associate Editor of the Aeronautical Journal of RAeS .","Dr. Giurgiutiu's research interests span active materials, smart structures, structural
                                    health monitoring, mechatronics, and other multi-physics applied mechanics topics.
                                    Dr. Giurgiutiu has published several books and book chapters and many journal articles
                                    and conference papers. He is Fellow of the Royal Aeronautical Society (RAeS) and of
                                    the American Society of Mechanical Engineers (ASME). He is Associate Editor of the
                                    Aeronautical Journal of RAeS.","[""giurgiutiu"",""society"",""aeronautical"",""journal"",""raes""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/giurgiutiu_victor.php,"Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics .
He is Associate Editor of the Aeronautical Journal of RAeS .Dr. Giurgiutiu's research interests span active materials, smart structures, structural"
92,"Glenn Jr., Odell",Instructor,Faculty,"Fundamental Aspects of a Novel Technology for Abatement of Allergenic Proteins involved the development of an approach to potentially reduce the potency of asthma triggers produced in an indoor environment . Allergens are bound to dry dust particles in a home . The effectiveness of using dry ice , essential oils with CO2 through CFD modeling and an ELISA assay was investigated . My present passion is S . T . E . M education along with engineering education research . Investigating new and unique ways to teach undergraduates core fundamentals is key to both myself as an educator and to the student .",,"[""education"",""dry"",""bound"",""abatement"",""unique""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/odellglenn.php,Allergens are bound to dry dust particles in a home .
93,"Goharian, Erfan",Assistant Professor,Faculty,"Dr . Erfan Goharian s research focuses on water resources systems analysis and integrated management of water resources . He develops complex quantitative and computational models with the purpose of providing enhanced knowledge needed to better understand interactions in coupled human natural systems and water energy food nexus , and how they are shaped by climate , environmental , economic , social and political changes . Before joining University of South Carolina , he was leading the research on re operation of integrated water systems in California as a part of University of California Water Security and Sustainability Research Initiative UC Water . Dr . Goharian holds a Ph . D . degree in Civil and Environmental Engineering with emphasize on Water Resources Management from the University of Utah . Beyond his technical background , he has experience working in collaborations across institutions and disciplinary boundaries . Post doctoral , Water Resources , University of California , Davis , CA , 2016 2018Ph . D . , Civil and Environmental Engineering , University of Utah , Salt Lake City , UT , 2015","Dr. Erfan Goharian’s research focuses on water resources systems analysis and integrated
                                 management of water resources. He develops complex quantitative and computational
                                 models with the purpose of providing enhanced knowledge needed to better understand
                                 interactions in coupled human-natural systems and water-energy-food nexus, and how
                                 they are shaped by climate, environmental, economic, social and political changes.
                                 Before joining University of South Carolina, he was leading the research on re-operation
                                 of integrated water systems in California as a part of University of California Water
                                 Security and Sustainability Research Initiative (UC Water). Dr. Goharian holds a Ph.D.
                                 degree in Civil and Environmental Engineering with emphasize on Water Resources Management
                                 from the University of Utah. Beyond his technical background, he has experience working
                                 in collaborations across institutions and disciplinary boundaries.","[""water"",""resources"",""university"",""systems""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/goharian.php,"He develops complex quantitative and computational models with the purpose of providing enhanced knowledge needed to better understand interactions in coupled human natural systems and water energy food nexus , and how they are shaped by climate , environmental , economic , social and political changes .
degree in Civil and Environmental Engineering with emphasize on Water Resources Management from the University of Utah .
Beyond his technical background , he has experience working in collaborations across institutions and disciplinary boundaries .
, Civil and Environmental Engineering , University of Utah , Salt Lake City , UT , 2015Dr. Erfan Goharian’s research focuses on water resources systems analysis and integrated"
94,"Goodwin, Richard Lance",Instructor,Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/goodwin_rich.php,
95,"Gower, R. Michael","Associate Professor, Chemical Engineering, Biomedical Engineering",Faculty,"Swearingen Engineering CenterRoom 2C21301 Main StreetColumbia , SC 29108Our research focuses on understanding the immune system in order to develop bio instructive materials that stimulate specific immune responses . We aim to control immune cell migration to synthetic microenvironments that are engineered to program and expand regulatory immune cells as a therapeutic tool for inflammatory disease . This research utilizes controlled release of proteins , peptides , and small molecules via a biomaterial to direct regulatory immune cell differentiation , as characterized by epigenetic modification to DNA , transcriptional programs , protein expression , and immunosuppressive function . We employ these technologies in animal disease models with the long term goal of developing translational therapies for atherosclerosis , diabetes , and cancer . Liu JM , Zhang J , Zhang X , Hlavaty KA , Ricci CF , Leonard JN , Shea LD , and Gower RM . Transforming growth factor beta 1 delivery from microporous scaffolds decreases inflammation post implant and enhances function of transplanted islets . Biomaterials Feb 80 11 9 , 2016 .",,"[""immune"",""function"",""cell"",""research"",""regulatory"",""zhang""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gowermichael.php,"This research utilizes controlled release of proteins , peptides , and small molecules via a biomaterial to direct regulatory immune cell differentiation , as characterized by epigenetic modification to DNA , transcriptional programs , protein expression , and immunosuppressive function ."
97,"Gray, Joshua",Instructor,Faculty,"Experienced engineer with a diverse background ranging from educational instruction and mentoring roles , extensive experience in research and development environments , entrepreneurial start ups and community based non profit social work . Educational roles range from experience as a teaching assistant in graduate school chemical engineering laboratories , serving as a mentor and thesis committee member as an adjunct professor while working in the national laboratory system , and serving as a laboratory manager and instructor in the chemistry department at a state supported liberal arts university . R D experience primarily involves the application of electrochemical engineering to localized corrosion and sustainable energy applications . I have worked in such areas as materials compatibility and corrosion susceptibility of high temperature heat transfer fluids for solar energy , hydrogen storage and fuel cell applications , the development of alternative separations processes for used nuclear fuel , and battery component research and characterization . I participated in several start ups in the areas of fuel cell and hydrogen storage technologies , and am currently a co founder of a 501 c 3 nonprofit in the area of recovery from substance use disorder .","Experienced engineer with a diverse background ranging from educational instruction
                                 and mentoring roles, extensive experience in research and development environments,
                                 entrepreneurial start-ups and community-based non-profit social work. Educational
                                 roles range from experience as a teaching assistant in graduate school chemical engineering
                                 laboratories, serving as a mentor and thesis committee member as an adjunct professor
                                 while working in the national laboratory system, and serving as a laboratory manager
                                 and instructor in the chemistry department at a state-supported liberal arts university.
                                 R&D experience primarily involves the application of electrochemical engineering to
                                 localized corrosion and sustainable energy applications. I have worked in such areas
                                 as materials compatibility and corrosion susceptibility of high temperature heat transfer
                                 fluids for solar energy, hydrogen storage and fuel cell applications, the development
                                 of alternative separations processes for used nuclear fuel, and battery component
                                 research and characterization. I participated in several start-ups in the areas of
                                 fuel cell and hydrogen storage technologies, and am currently a co-founder of a 501(c)(3)
                                 nonprofit in the area of recovery from substance use disorder.","[""experience"",""fuel"",""corrosion"",""engineering"",""laboratory""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gray_joshua.php,"Experienced engineer with a diverse background ranging from educational instruction and mentoring roles , extensive experience in research and development environments , entrepreneurial start ups and community based non profit social work .
Educational roles range from experience as a teaching assistant in graduate school chemical engineering laboratories , serving as a mentor and thesis committee member as an adjunct professor while working in the national laboratory system , and serving as a laboratory manager and instructor in the chemistry department at a state supported liberal arts university .
I have worked in such areas as materials compatibility and corrosion susceptibility of high temperature heat transfer fluids for solar energy , hydrogen storage and fuel cell applications , the development of alternative separations processes for used nuclear fuel , and battery component research and characterization .
I participated in several start ups in the areas of fuel cell and hydrogen storage technologies , and am currently a co founder of a 501 c 3 nonprofit in the area of recovery from substance use disorder .Experienced engineer with a diverse background ranging from educational instruction"
99,"Gross, Andrew J.",Assistant Professor,Faculty,"Dr . Gross research interests center on the mechanical properties of materials . This includes the design , fabrication , and characterization of architected materials , especially those with nanoscale constituents as well as the use of full field experimental data for the calibration of material models .","Dr. Gross' research interests center on the mechanical properties of materials. This
                                 includes the design, fabrication, and characterization of architected materials, especially
                                 those with nanoscale constituents; as well as the use of full field experimental data
                                 for the calibration of material models.","[""materials"",""includes"",""models"",""data"",""research"",""design"",""experimental""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/andrewgross.php,"This includes the design , fabrication , and characterization of architected materials , especially those with nanoscale constituents as well as the use of full field experimental data for the calibration of material models .Dr. Gross' research interests center on the mechanical properties of materials."
101,"Gumina, Sharon",Instructor,Faculty,"Innovation Center 550 Assembly Street , Suite 1300 Office 1317 Columbia , SC 29208Over 30 years experience as a developer , analyst , and educator in Information Technology . Cisco Academy Instructor in Cyber Security Operations and Routing and Switching CCNA 1 through CCNA 3 , version 7 . Developer using various tools including SQL Developer for Oracle and Visual Studio . Palo Alto Networks Authorized Cybersecurity Academy Instructor .","Over 30 years experience as a developer, analyst, and educator in Information Technology.
                                 Cisco Academy Instructor in Cyber Security Operations and Routing and Switching CCNA-1
                                 through CCNA-3, version 7. Developer using various tools including SQL Developer for
                                 Oracle and Visual Studio. Palo Alto Networks Authorized Cybersecurity Academy Instructor.","[""developer"",""academy"",""instructor""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gumina_sharon.php,"Palo Alto Networks Authorized Cybersecurity Academy Instructor .Over 30 years experience as a developer, analyst, and educator in Information Technology."
102,"Gürdal, Zafer ","Professor of Mechanical Engineering, Aerospace Engineering",Faculty,"Dr . G rdal s research interests are in structural and multidisciplinary design and optimization , design and optimization of composite materials and structures , and computational methods for design with manufacturing emphasis . His research has largely been funded by NASA Langley Research Center and Air Force Office of Scientific Research AFOSR in the US , and EU Research Frame work programs in Europe . He was one of the investigators of the NASA Virginia Tech Composites program during his tenure at Virginia Tech . He was the principal investigator and co investigator of more than 60 research grants , majority of which on methodologies for composite laminate design and novel structural configurations , as well as experimental verification of composites structures research . The funding sources for his research included ALCOA , Lockheed Martin , Newport News Ship Building , Boeing Helicopters , Commercial , and Defense , McDonnell Douglas , Sikorsky Aircraft , Ford Motor Company , Fokker Aerostructures . His research cooperation in Europe included DLR , NLR , ONERA , CIRA , EADS , Dassault Aviation , Airbus , Allenia , Rolls Royce , Astrium , Dutch Space , Piaggio , and Israel Aircraft Industries . He also worked with a number of small companies , and is one of the founders of a small business in Blacksburg Virginia , and one in the Netherlands . Prof . G rdal s research contributions resulted nearly 300 publications . He was a key note plenary speaker for 14 international conferences , co authored of 3 books , and taught several AIAA Professional Development Short courses . He served as the graduate thesis advisor for more than 60 masters and 30 doctoral students . He is a Lifetime member and Associate Fellow of the American Institute of Aeronautics and Astronautics AIAA , and one of the initial members of the AIAA Multidisciplinary Technical Committee MDO TC .","Dr. Gürdal’s research interests are in structural and multidisciplinary design and
                                    optimization, design and optimization of composite materials and structures, and computational
                                    methods for design with manufacturing emphasis. His research has largely been funded
                                    by NASA Langley Research Center and Air Force Office of Scientific Research (AFOSR)
                                    in the US, and EU Research Frame work programs in Europe. He was one of the investigators
                                    of the NASA – Virginia Tech Composites program during his tenure at Virginia Tech.
                                    He was the principal investigator and co-investigator of more than 60 research grants,
                                    majority of which on methodologies for composite laminate design and novel structural
                                    configurations, as well as experimental verification of composites structures research.
                                    The funding sources for his research included ALCOA, Lockheed Martin, Newport News
                                    Ship Building, Boeing (Helicopters, Commercial, and Defense), McDonnell Douglas, Sikorsky
                                    Aircraft, Ford Motor Company, Fokker Aerostructures. His research cooperation in Europe
                                    included DLR, NLR, ONERA, CIRA, EADS, Dassault Aviation, Airbus, Allenia, Rolls Royce,
                                    Astrium, Dutch Space, Piaggio, and Israel Aircraft Industries. He also worked with
                                    a number of small companies, and is one of the founders of a small business in Blacksburg
                                    Virginia, and one in the Netherlands. Prof. Gürdal’s research contributions resulted
                                    nearly 300 publications. He was a key-note/plenary speaker for 14 international conferences,
                                    co-authored of 3 books, and taught several AIAA Professional Development Short courses.
                                    He served as the graduate thesis advisor for more than 60 masters and 30 doctoral
                                    students. He is a Lifetime member and Associate Fellow of the American Institute of
                                    Aeronautics and Astronautics (AIAA), and one of the initial members of the AIAA Multidisciplinary
                                    Technical Committee (MDO-TC).","[""research"",""one"",""design""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/gurdal_zafer.php,"G rdal s research interests are in structural and multidisciplinary design and optimization , design and optimization of composite materials and structures , and computational methods for design with manufacturing emphasis .
His research has largely been funded by NASA Langley Research Center and Air Force Office of Scientific Research AFOSR in the US , and EU Research Frame work programs in Europe .
The funding sources for his research included ALCOA , Lockheed Martin , Newport News Ship Building , Boeing Helicopters , Commercial , and Defense , McDonnell Douglas , Sikorsky Aircraft , Ford Motor Company , Fokker Aerostructures .
His research cooperation in Europe included DLR , NLR , ONERA , CIRA , EADS , Dassault Aviation , Airbus , Allenia , Rolls Royce , Astrium , Dutch Space , Piaggio , and Israel Aircraft Industries .
He also worked with a number of small companies , and is one of the founders of a small business in Blacksburg Virginia , and one in the Netherlands .
He was a key note plenary speaker for 14 international conferences , co authored of 3 books , and taught several AIAA Professional Development Short courses .
He served as the graduate thesis advisor for more than 60 masters and 30 doctoral students .
He is a Lifetime member and Associate Fellow of the American Institute of Aeronautics and Astronautics AIAA , and one of the initial members of the AIAA Multidisciplinary Technical Committee MDO TC .Dr. Gürdal’s research interests are in structural and multidisciplinary design and"
104,"Haj-Hariri, Hossein ",Dean,Faculty,"Professor Hossein Haj Hariri is a USC Educational Foundation Distinguished Professor , and Dean of the College of Engineering and Computing at the University of South Carolina , which he joined in January of 2016 . For the prior 27 years he was on the faculty of Mechanical and Aerospace Engineering at the University of Virginia , where he was chair from 2005 through 2015 . He was also concurrently the associate vice president for research in 2014 2015 , and the co Director of the K 12 Engineering Design Laboratory since 2013 . He holds a Ph . D . and S . M . in Mechanical Engineering in Applied Mechanics , and also an S . B . in Civil Engineering , all from MIT . Through his research efforts , Professor Haj Hariri has guided more than 35 research scientists , postdocs , and graduate students , as well as over 50 undergraduate students in their research , and published over 100 research papers , through over 30M of sponsored research funding . Dr . Haj Hariri s area of research has spanned a broad subset of computational and theoretical applied mechanics theoretical aero acoustics , hydrodynamic stability , linear and nonlinear waves , singular perturbations , microgravity fluid mechanics , interfacial phenomena , fluid solid interactions , fluid mechanics of swimming , and passive thermal management . He holds several patents in the area of thermal management , and carbon fiber composites .","Professor Hossein Haj-Hariri is a USC Educational Foundation Distinguished Professor,
                                 and Dean of the College of Engineering and Computing at the University of South Carolina,
                                 which he joined in January of 2016. For the prior 27 years he was on the faculty of
                                 Mechanical and Aerospace Engineering at the University of Virginia, where he was chair
                                 from 2005 through 2015.  He was also concurrently the associate vice president for
                                 research in 2014-2015, and the co-Director of the K-12 Engineering Design Laboratory
                                 since 2013.  He holds a Ph.D. and S.M. in Mechanical Engineering (in Applied Mechanics),
                                 and also an S.B. in Civil Engineering, all from MIT.","[""engineering"",""research"",""mechanics"",""university""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hajhariri.php,"Professor Hossein Haj Hariri is a USC Educational Foundation Distinguished Professor , and Dean of the College of Engineering and Computing at the University of South Carolina , which he joined in January of 2016 .
For the prior 27 years he was on the faculty of Mechanical and Aerospace Engineering at the University of Virginia , where he was chair from 2005 through 2015 .
He was also concurrently the associate vice president for research in 2014 2015 , and the co Director of the K 12 Engineering Design Laboratory since 2013 ."
105,"Hamm,  L Larry","Savannah River National Laboratory, Mechanical Engineering",Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hamm_larry.php,
107,"Hardaway, Chad","Associate Director, Office of Economic Engagement",Faculty,,,,https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/hardaway_adjunct.php,
108,"Harik, Ramy","Professor, Mechanical Engineering",Faculty,"Dr . Harik , a Fulbright Scholar , is a faculty member in the Department of Mechanical Engineering at the University of South Carolina and a resident researcher at the McNAIR Center for Aerospace Innovation and Research . He is currently a visiting Research Scientist at NASA Langley , conducting research in Automated Fiber Placement . His education joins Mechanical Engineering Masters of Science , Automated Manufacturing Engineering Technology Masters of Science and Industrial Mechanical Engineering Doctor of Philosophy . He mainly teaches courses in Computer Aided Design CAD , Manufacturing and Computer Aided Manufacturing CAM . Dr Harik is an Associate Editor of the Computer Aided Design Applications international journal . He has more than 3 million USD in funding from Boeing , NASA , SC Department of Commerce , Fokker Aerostructures , Dassault Aviation funded as a student and several other agencies . He is the recipient of the 2016 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University of South Carolina . Dr . Harik is the chair of ACE 15 , ACE 16 and ACE 17 Technical Symposiums South Carolina Aerospace Conference and Exhibition and was the chair of the PLM 16 International Conference held in Columbia , South Carolina . Dr . Harik s textbook for Manufacturing Education featuring both traditional and emergent manufacturing topics .","Dr. Harik, a Fulbright Scholar, is a faculty member in the Department of Mechanical
                                 Engineering at the University of South Carolina and a resident researcher at the McNAIR
                                 Center for Aerospace Innovation and Research. He is currently a visiting Research
                                 Scientist at NASA Langley, conducting research in Automated Fiber Placement. His education
                                 joins Mechanical Engineering (Masters of Science), Automated Manufacturing Engineering
                                 Technology (Masters of Science) and Industrial/Mechanical Engineering (Doctor of Philosophy).
                                 He mainly teaches courses in Computer Aided Design (CAD), Manufacturing and Computer
                                 Aided Manufacturing (CAM). Dr Harik is an Associate Editor of the Computer Aided Design
                                 & Applications international journal. He has more than 3 million USD in funding from
                                 Boeing, NASA, SC Department of Commerce, Fokker Aerostructures, Dassault Aviation
                                 (funded as a student) and several other agencies. He is the recipient of the 2016
                                 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University
                                 of South Carolina. Dr. Harik is the chair of ACE’15, ACE’16 and ACE’17 Technical Symposiums
                                 (South Carolina Aerospace Conference and Exhibition) and was the chair of the PLM’16
                                 International Conference held in Columbia, South Carolina.","[""manufacturing"",""carolina"",""engineering"",""harik"",""south""]",https://www.sc.edu/study/colleges_schools/engineering_and_computing/faculty-staff/harik_ramy.php,"Harik , a Fulbright Scholar , is a faculty member in the Department of Mechanical Engineering at the University of South Carolina and a resident researcher at the McNAIR Center for Aerospace Innovation and Research .
Dr Harik is an Associate Editor of the Computer Aided Design Applications international journal .
He has more than 3 million USD in funding from Boeing , NASA , SC Department of Commerce , Fokker Aerostructures , Dassault Aviation funded as a student and several other agencies .
He is the recipient of the 2016 Outstanding Young Educator Award from Pi Tau Sigma Honor Society at the University of South Carolina .
Engineering at the University of South Carolina and a resident researcher at the McNAIR"
